OBJECTID,COUNTRY,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
1,Afghanistan,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,11,10,2,30,36,0,9,6,4,1,1,9,14,14,38,100,88,155,282,341,414,503,542,421,1469,1443,1824,1928,1617,1414
2,Albania,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,2,0,6,41,7,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,2,4,2,1
3,Algeria,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30,215,0,227,185,129,344,151,106,138,113,132,75,67,104,152,124,107,108,100,15,41,22,13,16,9,14
4,Andorra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Angola,0,0,0,0,0,0,0,1,2,3,0,1,2,7,11,6,5,3,12,12,205,16,50,0,9,10,4,7,20,34,22,40,6,0,0,0,0,0,0,1,2,0,0,0,0,0,2,6
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Argentina,21,7,20,60,71,38,54,17,25,16,6,2,9,18,46,43,33,80,33,32,31,27,41,0,14,16,19,11,0,1,0,2,0,1,0,3,0,0,0,1,5,1,2,2,1,1,2,3
8,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,1,0,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0
9,Australia,1,1,8,0,1,0,0,0,2,2,6,1,2,0,0,0,2,0,3,2,0,4,4,0,9,5,5,4,6,0,1,2,0,0,0,0,2,0,3,1,1,0,0,1,8,14,9,4
10,Austria,0,0,7,2,1,2,4,5,1,5,2,3,11,0,4,4,4,4,1,2,1,3,8,0,5,12,4,1,1,0,0,0,0,0,0,0,1,1,7,3,0,1,0,1,0,0,3,1
11,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,11,2,2,1,0,0,1,4,1,0,0,0,0,1,2,2,0,0,0,0,3,0,2,2
12,Bahamas,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Bahrain,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,16,11,0,0,0,0,0,1,0,0,1,0,1,0,2,1,26,52,42,18,3,21
14,Bangladesh,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,11,6,36,36,22,42,76,0,68,74,161,17,2,11,23,15,5,4,11,23,23,9,19,27,22,13,18,139,130,469,88,41
15,Barbados,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,0
17,Belgium,1,0,4,1,5,0,1,1,8,8,8,6,1,8,10,21,3,1,5,7,2,6,9,0,5,1,0,2,3,2,0,0,3,8,0,0,0,1,0,1,0,0,1,0,2,0,6,3
18,Belize,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0
21,Bolivia,1,2,0,0,1,0,1,1,3,14,35,5,27,27,14,13,4,14,11,40,11,28,38,0,8,2,1,4,0,0,0,0,0,1,0,1,0,3,0,3,0,0,1,0,0,0,0,0
22,Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,9,6,33,42,9,5,6,2,3,1,0,1,1,2,4,1,1,1,0,1,3,6,0,0
23,Botswana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Brazil,6,3,3,2,0,0,5,1,5,6,19,11,4,8,5,1,3,1,2,5,7,24,24,0,19,23,18,39,2,1,2,3,1,1,0,0,3,0,0,0,0,0,1,3,3,5,2,2
25,Brunei,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,3,2,0,2,2,12,3,2,1,2,1,1,0,0,0,0,0,2,0,0,2,2,3,1,2,1,0
27,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,32
28,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,16,83,35,79,13,13,17,37,18,18,1,5,5,3,7,0,29,8,4,2,5,102,83,21
29,Cambodia,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,67,0,39,56,33,18,7,8,4,7,3,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
30,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,3,0,3,68,83,56,94
31,Canada,2,0,4,0,1,0,0,0,0,0,3,0,5,1,0,3,2,0,0,1,0,0,3,0,4,5,1,2,4,2,5,0,0,0,2,0,2,0,5,4,2,0,3,4,3,5,6,12
32,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,2,5,13,3,4,20,94,48,38,43
33,Chad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,4,0,1,3,1,1,1,1,0,0,4,0,0,0,11,7,8,3,1,0,0,0,1,27,5,6
34,Chile,0,0,0,7,0,0,2,6,8,49,41,34,21,106,563,232,243,173,185,146,161,127,116,0,15,17,8,6,1,3,2,3,1,2,0,0,1,8,4,8,5,6,2,5,17,1,18,12
35,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,13,8,62,18,2,2,4,12,2,3,2,1,0,0,20,7,1,4,4,12,37,17,5,6
36,Colombia,1,0,2,6,0,10,22,80,158,140,141,172,222,234,237,382,307,337,427,492,349,420,523,0,201,123,409,598,94,116,137,207,150,98,37,42,43,30,133,139,136,94,115,149,231,136,109,117
37,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Costa Rica,0,1,0,0,0,0,12,5,2,2,3,10,6,3,2,5,1,3,2,1,1,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,4,1,3,8,0,0,2,3,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0
40,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Cyprus,0,0,0,3,0,2,0,1,2,5,1,3,1,2,7,7,3,10,5,6,11,11,6,0,6,3,10,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,1,9,5,3,2,0
42,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,1,5,4,2,3
43,Czechoslovakia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,5,7,6,5,5,5,11,20,54,18,16,25,22,110,143,169,143
45,Denmark,0,0,0,0,0,0,0,0,1,3,1,6,0,0,0,4,2,2,1,1,0,1,4,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,1,0
46,Djibouti,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1,6,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
47,Dominica,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Dominican Republic,2,3,0,3,2,0,0,0,1,2,1,0,2,0,0,0,0,15,2,11,2,8,11,0,7,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
49,East Germany (GDR),12,4,0,0,1,0,0,1,1,0,0,0,1,1,1,4,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
51,Ecuador,0,0,0,1,3,0,2,7,11,2,2,2,3,10,24,12,8,6,9,14,8,17,23,0,6,6,5,4,3,2,4,5,2,4,2,0,0,0,2,1,0,1,1,2,0,1,2,3
52,Egypt,1,1,1,0,0,0,0,1,2,1,5,9,1,0,0,2,4,7,9,7,13,10,79,0,143,102,51,22,3,1,0,0,0,0,3,2,5,0,1,2,2,18,49,321,354,647,376,224
53,El Salvador,0,0,2,1,3,3,13,6,91,326,710,664,537,371,273,436,175,234,367,356,184,500,29,0,21,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0
56,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
57,Ethiopia,3,1,0,1,4,4,5,4,2,4,0,0,0,3,1,1,1,1,2,1,10,5,13,0,4,5,7,6,0,2,1,0,3,1,2,5,11,5,8,2,2,3,3,5,2,7,13,27
58,Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,1,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,3,2
61,France,0,0,11,14,29,39,58,53,59,212,94,66,62,121,145,106,95,87,54,25,30,137,126,0,97,71,270,130,12,46,28,21,32,34,11,33,34,16,13,9,3,8,66,18,14,37,26,41
62,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Gabon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
