OBJECTID,TYPE,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
1,Abortion Related,0,0,0,0,0,0,0,4,6,1,3,0,7,3,27,14,13,11,7,8,8,12,18,0,18,24,11,17,9,9,6,2,0,2,1,4,0,2,2,1,0,0,4,2,0,5,1,1
2,Airports & Aircraft,25,10,22,20,20,19,43,30,36,68,65,67,40,47,39,52,34,19,23,31,22,63,64,0,36,27,21,25,7,13,15,22,18,8,6,6,5,13,25,23,21,16,21,23,60,34,29,10
3,Business,136,131,77,83,179,204,216,409,422,598,585,398,383,389,512,417,522,502,502,637,525,918,834,0,545,404,425,436,127,184,206,197,154,147,126,159,247,240,501,541,530,513,567,902,1107,1134,926,772
4,Educational Institution,62,40,6,5,3,6,15,31,36,65,117,57,51,39,51,46,44,37,51,107,78,51,87,0,78,50,33,75,12,40,20,47,28,25,24,58,87,120,162,217,264,219,324,352,346,293,213,150
5,Food or Water Supply,2,0,0,0,0,2,0,1,11,1,4,9,12,6,12,18,17,5,5,10,14,8,9,0,4,2,5,1,3,4,2,3,1,3,0,5,9,1,16,7,11,10,18,6,21,17,11,11
6,Government (Diplomatic),55,35,75,57,58,70,108,61,60,90,129,119,108,85,94,63,78,46,58,69,58,153,192,0,117,59,63,55,22,50,54,29,25,45,33,41,42,40,94,58,75,45,94,112,159,152,92,96
7,Government (General),80,46,27,22,36,64,105,178,243,489,379,293,241,264,310,319,362,513,622,663,514,526,615,0,474,389,464,508,122,200,274,252,179,183,165,329,372,335,720,767,917,870,855,1299,1584,1158,1017,939
8,Journalists & Media,9,12,5,3,9,16,27,54,57,87,119,60,60,61,66,56,36,88,69,89,54,76,96,0,78,80,59,72,9,33,43,44,24,10,25,25,41,43,60,39,54,37,103,183,231,177,143,126
9,Maritime,0,2,1,3,2,3,5,1,2,9,0,4,2,3,31,12,5,10,10,14,3,14,22,0,20,6,10,7,2,7,6,7,3,2,5,2,3,5,14,9,5,2,2,11,13,7,32,13
10,Military,86,103,145,91,60,48,93,82,120,225,273,496,424,794,666,614,463,496,591,665,452,720,556,0,364,233,199,161,92,158,211,128,178,223,182,289,234,358,263,130,188,346,1797,2331,3736,2968,2600,2352
11,NGO,8,2,5,2,3,3,2,0,5,9,6,4,4,8,9,9,5,10,16,13,8,24,24,0,31,30,24,28,4,16,15,18,8,20,19,10,23,21,61,50,36,38,43,55,82,60,48,51
12,Other,1,0,0,3,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,2,3,2,9,11,7,6,2,6,14,18,19,14,7
13,Police,81,38,26,29,41,72,83,108,228,311,261,261,236,298,305,309,303,337,477,540,533,551,775,0,382,394,350,306,98,110,162,260,118,145,176,374,471,717,473,436,560,729,1705,2362,2615,2124,1697,1539
14,Private Citizens & Property,57,23,152,127,130,135,157,223,143,387,431,401,459,483,609,384,490,515,620,773,760,689,954,0,757,803,680,890,284,385,546,678,399,263,234,444,854,969,1611,1671,1477,1436,1704,2492,4331,4184,4370,2947
15,Religious Figures/Institutions,13,4,0,2,7,8,8,10,16,41,49,31,36,42,63,30,42,46,55,65,106,107,131,0,94,76,86,101,42,44,99,46,42,31,47,89,94,89,112,147,125,136,252,412,429,404,298,233
16,Telecommunication,7,3,0,0,4,3,1,12,18,30,6,32,54,21,26,14,15,21,16,29,22,18,39,0,11,8,11,3,1,5,8,11,7,15,1,11,17,9,66,56,55,46,51,56,48,46,46,30
17,Terrorists/Non-State Militia,4,1,12,19,15,29,13,9,18,18,26,25,28,15,23,16,20,37,28,36,31,51,65,0,57,40,53,49,6,26,10,9,6,8,4,19,20,31,150,88,128,147,188,285,364,320,317,175
18,Tourists,2,3,4,0,0,4,3,4,5,16,8,8,7,1,5,1,6,7,3,9,9,24,18,0,32,27,22,21,7,4,13,14,9,10,5,11,15,7,13,8,5,2,19,18,6,5,8,11
19,Transportation,2,4,3,2,7,28,17,41,42,97,114,134,126,143,246,158,161,201,214,227,250,212,302,0,159,237,225,182,61,58,82,95,93,63,51,71,113,142,225,233,219,217,198,242,347,390,227,138
20,Unknown,4,0,0,0,2,2,4,7,9,84,28,17,53,15,23,20,21,9,3,8,3,2,30,0,36,100,172,172,4,12,9,10,21,16,18,8,25,19,68,52,21,80,322,442,928,953,1070,996
21,Utilities,16,12,7,5,5,19,10,43,34,25,39,163,204,150,360,359,220,256,289,260,378,389,158,0,65,52,88,53,17,25,22,24,18,47,32,50,72,53,120,137,83,160,161,241,340,258,348,156
22,Violent Political Party,1,2,1,0,0,3,13,10,14,11,20,7,8,3,18,3,3,15,62,70,58,75,82,0,96,40,57,34,4,12,11,10,2,12,10,9,12,19,38,44,46,25,88,196,138,257,80,147
