OBJECTID,TYPE,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
1,Biological,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,17,0,2,1,1,0,0,0,0,1,1,0,3,0,0,0,0
2,Chemical,3,1,0,4,4,3,3,2,9,4,2,0,0,0,4,2,2,3,3,4,3,4,6,0,7,13,0,5,14,9,7,10,10,16,2,1,0,9,9,8,8,1,15,14,18,23,29,27
3,Explosives,338,246,271,162,296,376,415,640,657,1091,986,1068,1114,1230,1677,1478,1464,1431,1655,1869,1783,2033,1758,0,1170,805,1235,1133,527,639,942,819,724,701,685,1074,1518,1875,2755,2670,2715,2754,5412,7266,9521,8380,7603,5465
4,Fake Weapons,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,5,6,1,1,0,1,0,0,2,0,1,0,0,1,0,2,1,0,0,2,0,0,1
5,Firearms,81,102,248,204,192,251,278,317,452,869,1133,1061,938,1189,1173,940,809,1232,1705,1947,1666,2015,2146,0,1287,1103,872,997,245,436,550,736,419,389,379,737,974,1105,1309,1266,1368,1630,2493,3660,5040,3953,3481,3146
6,Incendiary,176,92,23,49,43,75,157,264,209,214,173,145,190,119,191,154,173,171,170,316,290,391,539,0,288,507,368,212,63,147,135,139,83,89,30,72,95,87,262,352,274,211,264,504,640,703,630,656
7,Melee,2,2,5,7,6,3,13,7,19,18,9,6,20,14,24,11,22,12,24,91,91,102,255,0,162,186,97,212,44,50,55,59,35,29,15,35,60,58,104,72,99,123,55,100,214,388,333,307
8,Other,0,0,0,0,0,0,1,0,0,4,1,0,2,0,1,0,0,0,1,1,1,5,9,0,2,2,0,0,0,13,1,1,2,1,0,0,2,2,4,5,0,2,2,7,14,8,10,10
9,Radiological,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Sabotage Equipment,1,0,0,0,0,0,0,0,2,2,0,5,1,0,6,0,2,2,3,1,4,0,4,0,0,2,0,0,2,1,2,4,0,2,0,1,1,11,10,8,7,18,4,5,1,10,8,11
11,Unknown,49,28,20,47,38,32,56,89,178,457,357,299,278,318,412,328,387,331,159,93,46,127,350,0,534,458,477,635,38,99,110,116,59,45,53,95,106,94,350,338,349,331,273,475,1443,1466,1480,1254
12,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,4,4,0,4,0,3,2,0,1,0,5,1,2,1,0,2,0,1,2,3,4,4,2,10,34,13,23
